下午3:59 - 2017年11月30日," What are the SDGs? Well.... @UNACanada #TeachSDGspic.twitter.com/iZApa7Ir8g "
上午7:31 - 2017年11月13日," Live from @WFP Executive Board meeting in #Rome. Powerful opening remarks from @UN DSG @AminaJMohammed #EndHunger #zerohunger #SDGs #UNpic.twitter.com/gorf3tYECA "
上午7:31 - 2017年11月13日," The SDG Fund has improved the lives of 3.5 million people since its launch, 2 years ago. Not a bad start! #SDGs #Reporthttp://sdgf.co/hgisf8? "
上午7:31 - 2017年11月13日," Who at #WGLF is engaged in #openscience #opendata #openeducation #openaccess #opensource #SDGs #Wikimedia? Let's connect! "
上午7:30 - 2017年11月13日," IAEG-SDGs upgrade Indicator 1.4.2 to Tier II Status!! http://ow.ly/e3Dj30gxOe1? Blog by @EverlyneNairesi Contratulations to @GLTNnews @LandIndicators @donorplatform @Landesa_Global @Oxfam @landcoalition @HuairouConnect ! @UNHABITAT @UNSDSN @CCSI_Columbia #landrights #Tier2Readypic.twitter.com/MhbOTgIuLg "
上午7:30 - 2017年11月13日," IAEG-SDGs upgrade Indicator 1.4.2 to Tier II Status!! http://ow.ly/e3Dj30gxOe1? Blog by @EverlyneNairesi Contratulations to @GLTNnews @LandIndicators @donorplatform @Landesa_Global @Oxfam @landcoalition @HuairouConnect ! @UNHABITAT @UNSDSN @CCSI_Columbia #landrights #Tier2Readypic.twitter.com/stZy6e7u15 "
上午7:30 - 2017年11月13日," IAEG-SDGs upgrade Indicator 1.4.2 to Tier II Status!! http://ow.ly/e3Dj30gxOe1? Blog by @EverlyneNairesi Contratulations to @GLTNnews @LandIndicators @donorplatform @Landesa_Global @Oxfam @landcoalition @HuairouConnect ! @UNHABITAT @UNSDSN @CCSI_Columbia #landrights #Tier2Readypic.twitter.com/0I7FfkpjDM "
上午7:30 - 2017年11月13日," 38% of Fortune 50 publicly support the #Sustainable Development Goals: not just philanthropy but strategy http://bit.ly/2zipXBG? #SDGs pic.twitter.com/jnMXK9rcB1 "
上午7:30 - 2017年11月13日," We stand with @joinsolidground, land indicator 1.4.2 is #Tier2Ready. It is estimated that at least 1 billion people in cities around the world ? the majority of whom are women ? lack secure land rights. Women shouldn?t worry about #securetenure. #genderequality @UN #IAEG #SDGs pic.twitter.com/Ac22HdAHMk "
上午7:30 - 2017年11月13日," #SDG2 "My biggest struggle on a daily basis: Finding food"  #HumansOfMYWorld at #COP23 #Philippines Have your say on the #SDGs at http://myworld2030.org? & see human stories at http://facebook.com/humansofmyworld? #ACT4SDGs #BulaBonn #Uniting4Climate #globalgoalspic.twitter.com/gZITiSx8hG "
上午7:28 - 2017年11月13日," Applying the "Golden Rule" to IMPACT2030's SDGs. Not familar, check this out! https://lnkd.in/eqQyhPa? "
上午7:27 - 2017年11月13日," First plenary session with the experts of the Workshop of Post-Habitat III. We discuss concret examples on the way metro governments are facing SDGs. pic.twitter.com/4V6Sjsr49e "
上午7:27 - 2017年11月13日," Business is increasingly aligning with SDGs to unlock new market opportunitie. All key to build the world we want. https://lnkd.in/gjH_iJW? "
上午7:25 - 2017年11月13日," To solve global challenges, #entrepreneurs can deliver say @UNFoundationGEC members @AnnaRyott and @James_I_Mwangi in @latimes Op-Ed http://www.latimes.com/world/global-development/la-fg-global-ryott-and-mwangi-oped-20171023-story.html?? #GEW2017 #OpEd #entrepreneurship #SDGs "
上午7:24 - 2017年11月13日," To solve global challenges, #entrepreneurs can deliver say @UNFoundationGEC members @AnnaRyott and @James_I_Mwangi in @latimes Op-Ed. http://latimes.com/world/global-d?? #GEW2017 #OpEd #entrepreneurship #SDGs "
上午7:23 - 2017年11月13日," Transforming markets for buildings to deliver against SDGs 11, 7 and 13: A high-level dialogue. #COP23pic.twitter.com/sJ5dgABbBJ "
上午7:22 - 2017年11月13日," Amazing news from the private sector in #Japan - #Keidanren Charter of Corporate Behavior revised to recognize the Sustainable Development Goals http://www.keidanren.or.jp/en/policy/csr/charter2017.html?? #SDGs #GlobalGoals @WBCSD @CeresNews @UNIC_Tokyo #ValueChain @ThomasGass @wef "
上午7:19 - 2017年11月13日," I am humbled, thank you! #womenandgirls are at the heart & brain of families, societies, and nations to thrive. Educating, empowering, informing, and advocating for #women and #adolescentgirls is key to accelerate achievement of #SDGs #Africa2063 #FP2020 and more. #WomeninGH "
上午7:18 - 2017年11月13日," European Union provides ?7.6 million to @UNICEFAfrica to respond to multiple emergencies affecting #children in #Chad https://www.cnbcafrica.com/apo/2017/11/10/european-union-provides-e7-6-million-to-unicef-to-respond-to-multiple-emergencies-affecting-children-in-chad/#.Wgm3qM1QWNk.twitter?? #AIDFAfrica #SDGs "
上午7:17 - 2017年11月13日," Yes, there is potential , and a few opportunities in #blending to fight against poverty ... but quite a few risks as well ! Less transparent, less aligned to recipient's priorities, risk to incentivize "tie" aid https://www.oxfam.org/sites/www.oxfam.org/files/bp-private-finance-blending-for-development-130217-en.pdf?? https://twitter.com/OECDdev/status/930088457527005184?? #ODA #SDGs "
上午7:17 - 2017年11月13日," Our NEW  #SDG7Dividend report w/@SEforALLorg, 'Why Wait? Seizing The Energy Access Dividend' launches this week @ #COP23 #SDG7 #SDGs #globalgoals #endenergypovertyfaster http://buff.ly/2lFCOLL? #SDG7pic.twitter.com/M0yUGpkzWC "
上午7:17 - 2017年11月13日," How can we reach targets for maternal and newborn mortality rates by 2030? @pl_bolton & @evc7 highlight some successes which point the way forward:  http://bit.ly/2yhVzGU? #SDGs #SDG3pic.twitter.com/Xa9qmoOEja "
上午7:15 - 2017年11月13日," Original design for an enormous social housing project in #Brazil. The project was delivered in association with the #UnitedNations, #BRE & #Caixa, & brought the #SDGs & #Agenda2030 into our design. https://theunknowncreative.com/news/united-nations-social-housing-project/???? #Design?#SmartCities #SocialHouse #UnitedNationspic.twitter.com/T2bmuCkl6v "
上午7:14 - 2017年11月13日," "We all know that the #ParisAgreement and the #SDGs will not be reached without the private sector" - Fiona Reynolds @Fireynolds from @PRI_News #COP23 #COP23Investors "
上午7:12 - 2017年11月13日," Looking forward to including the @BaillieGifford Positive Change Fund in our next Financial Sector and the #SDGs briefing https://twitter.com/uk_ifc/status/930061376198008832?? "
上午7:10 - 2017年11月13日," Great piece from @UNDPMongolia "From Development Challenges, To #Business Models: Young #SocialEntrepreneurs Changing Lives in Mongolia" http://ow.ly/NmKo30gwGZZ? #SDGs #socentpic.twitter.com/OD9bCl2Qk0 "
上午7:09 - 2017年11月13日," "Africa is now primed for a Green Revolution" http://newafricanmagazine.com/africa-now-primed-green-revolution/?? #SDGs #development #Africa #tech #sustainability "
上午7:06 - 2017年11月13日," everyone who has enough to eat, became friends with someone who doesn't? #zerohunger #SDGs "
上午7:05 - 2017年11月13日," Hey @RyersonU come on down to @UofT for the Toronto UN SDGs Training! Sign up here and receive a training certificate, opportunity to meet UN speakers, network and build your resume https://www.eventbrite.ca/e/sustainable-development-goals-youth-training-university-of-toronto-stgeorge-tickets-35112940751?? "
上午7:04 - 2017年11月13日," SDGs and your sustainability reporting - exploring the resources - https://one-report.com/2017/11/10/sustainable-development-goals-reporting/?? #SDGs #sustyreporting "
上午7:02 - 2017年11月13日," #stormwater to the source of the #SDGs  Music and clip : Ali Moharrek  https://lnkd.in/epDteqk?https://lnkd.in/eXr7m4a? "
上午7:01 - 2017年11月13日," #Insight: In 14 years, @MotsepeFoundtn has donated R42.2 million to develop over 170 schools and churches in South Africa. Read more about them http://ow.ly/2tKR30gvQGn? #AfricanPhilanthropy #SDGs #Educationpic.twitter.com/XFjVddcYfk "
上午6:59 - 2017年11月13日," Frank M?hlon: ?When we talk about partnerships we need to talk about #sustainability in partnerships: To ensure growth and scalable EV infrastructure, a reliable partner with proven experience in the market is key.? #COP23 #SDGs pic.twitter.com/gua5U7fIBr "
上午6:58 - 2017年11月13日," To solve global challenges, #entrepreneurs can deliver say   @UNFoundationGEC members @AnnaRyott and @James_I_Mwangi in @latimes  Op-Ed. http://www.latimes.com/world/global-development/la-fg-global-ryott-and-mwangi-oped-20171023-story.html?? #GEW2017 #OpEd #entrepreneurship #SDGs "
上午6:58 - 2017年11月13日," To solve global challenges, #entrepreneurs can deliver say   @UNFoundationGEC members @AnnaRyott and @James_I_Mwangi in @latimes  Op-Ed. http://www.latimes.com/world/global-development/la-fg-global-ryott-and-mwangi-oped-20171023-story.html?? #GEW2017 #OpEd #entrepreneurship #SDGs "
上午6:56 - 2017年11月13日," 17 steps to 2030 ? Gender Equality https://www.horyou.com/member/all-equal/news/17-steps-to-2030-gender-equality?? via @Horyou #SDGs #equality #womenempowerment #equalrightspic.twitter.com/DfgFzXYdJX "
上午6:56 - 2017年11月13日," How do the global goals crowd in international financing and inform domestic priorities? A new AidData report assesses the historical baseline for funding to the SDGs. @aiddata >http://aiddata.org/blog/realizing-agenda-2030-not-just-more-but-better-financing-needed-to-succeed?? "
上午6:55 - 2017年11月13日," Equiping masses to produce sustainable protein in fighting hunger and malnutrition #SDGs #edibleinsects @GREEiNSECT @AftonHalloran & build agriculture data  for open science @codataatg @CODATANewshttps://twitter.com/wakhustephen/status/930080473799372800?? "
上午6:55 - 2017年11月13日," Help young people use their energy, talents and passions to do themselves and others proud! http://www.humanvaluesfoundation.com/? #values #edchat #SDGs #happiness #wellbeing #PSHE #NQTs @ABAonlinepic.twitter.com/PDRQeZ2sYz "
上午6:53 - 2017年11月13日," Burning platform for acting on the #SDGs: We need to include more businesses in the conversation @Julia_Panzer #COP23pic.twitter.com/D8zWMT02HP "
上午6:53 - 2017年11月13日," I conquer with you @That_A_Lady and always great to see you in action for #SDGs https://twitter.com/GcuCsayn/status/930073765773479936?? "
上午6:50 - 2017年11月13日," Our target: fulfill SDG goals 1, 2 and 12 ! #NoPoverty #ZeroHunger #Reducefoodwaste50% @EuroFoodBanks #SDGs pic.twitter.com/f2xBpkfQNV "
上午6:50 - 2017年11月13日," Changing  the world one child at a  time  #leavenochildbehind #ovc #SDGs #OOAFkids #love #hope #voice #education #WorldKindnessDaypic.twitter.com/FBRsnQLUUR "
上午6:45 - 2017年11月13日," We @sirp_nigeria are so passionate about d SDGs especially with regards to SDG 1. "
上午6:44 - 2017年11月13日," Thanks for the shoutout on @eesionline 's work on the #SDGs! #GlobalGoal. Proud to work twd many SDGs! http://www.eesi.org/articles/view/how-eesi-is-advancing-the-united-nations-sustainable-development-goals?? "
上午6:43 - 2017年11月13日," For every 10,000 people globally, there?s an average of 15 doctors. In #Ethiopia, the figure is 0.2. Abraaj's @FSicre on what can be done: http://bit.ly/2hdgw27? #SDGs pic.twitter.com/GqZGp52tUi "
上午6:41 - 2017年11月13日," Summary and presentations from the #Ineson2017 meeting on #Africa #groundwater and #SDGs are available here http://www.iah-british.org/ineson-2017-meeting-round/?? @iahbritish @Geolsoc_hydropic.twitter.com/0k7IngNTmL "
上午6:41 - 2017年11月13日," Wrote this a month or 2 ago, I thought it's relevant at this time looking forward to 2018 & the decisions that need to be made to harnessing the #DemDiv & achieving the #SDGs https://medium.com/unleash-lab/localizing-the-global-goals-37aa2705fb9c?? "
上午6:40 - 2017年11月13日," Governments should reward companies that generate positive externalities says our CEO and #impinv expert @rodneyschwartz http://ow.ly/77Hq30f2OBa? #COP23 #climateaction #SDGs pic.twitter.com/SQHvJ3iTPh "
上午6:40 - 2017年11月13日," During the @WeDo2030 festival @KofiAnnan said: 'I am confident that positive change is possible if we act together and act now'. We couldn't agree more! #positivechange #wedo2030 #SDGs pic.twitter.com/P0kTdy4wXb "
上午6:39 - 2017年11月13日," Excited to be here with other leaders from a range of sectors to plan @wgsisummit April Summit on the #SDGs pic.twitter.com/RdyJzAH5fF "
上午6:39 - 2017年11月13日," Improving #nutrition will be a catalyst for achieving goals throughout the #SDGs v/ @1000Days https://www.globalnutritionreport.org/files/2017/11/Report_2017.pdf?? #InvestInNutritionpic.twitter.com/W3ctyjify8 "
上午6:39 - 2017年11月13日," Getting ready for the start of the @FAOWHOCodex Committee on Food Hygiene meeting in Codex with fellow Vice-Chair Mariam Eid and 260 delegates from over 80 countries. Important work - without food safety standards, global #SDGs will not be met. Congrats to US organisers. pic.twitter.com/GEna2ga5Ed "
上午6:35 - 2017年11月13日," Great opportunity for practitioners to contribute to #SDG acceleration, register to #RBFSingapore 21-23 Nov! http://bit.ly/2xcAEbo?pic.twitter.com/A0063uQ1l0 "
上午6:34 - 2017年11月13日," "Innovative financing solutions and technological breakthroughs can put the SDGs in reach", Indonesian Minister Luhut at the @OECD + @BizCommission side event at the @nordenen pavilion on #blended4climate. #COP23pic.twitter.com/Lcy0m9tvku "
上午6:32 - 2017年11月13日," CSR360GPN: Businesses? role in #SDGs emphasized http://ridder.co/vQe1L4? via TheCitizenTZ #CSRhttps://twitter.com/CSR360GPN/status/930080484155158528?? "
上午6:30 - 2017年11月13日," "No fame, no shame", says Jan Noterdaeme, Senior Advisor at CSR Europe, on how to make the EU Multi-Stakeholder Platform on the #SDGs successful: http://bit.ly/2zAszhz?pic.twitter.com/F9ufCipXT4 "
上午6:30 - 2017年11月13日," Businesses? role in #SDGs emphasized http://ow.ly/2K7630gxe3L? via @TheCitizenTZ "
上午6:30 - 2017年11月13日," "1-Gigaton Coalition Report Highlights Potential of Renewable Energy to Contribute to Multiple SDGs in Developing.."http://ht.ly/ngAQ30gsKoa? "
上午6:26 - 2017年11月13日," We call on world leaders at #UNGA to help children outside of families by ensuring #AllChildrenCount in the #SDGs. #Hopeland "
上午6:25 - 2017年11月13日," 6 things to keep in mind when applying the SDGs http://grn.bz/q7G? via@GreenBiz Map the #SDGs to your business objectives@Ardeaint "
上午6:25 - 2017年11月13日," My brilliant colleague @AnnaRyott from @norrsken_org writes in @latimes about how entrepreneurs can solve global challenges #SDGs #tech #impacthttp://www.latimes.com/world/global-development/la-fg-global-ryott-and-mwangi-oped-20171023-story.html?? "
上午6:24 - 2017年11月13日," Mary Crass, Head of Institutional Relations and Summit at the ITF, OECD, sagt zum Einstieg: ?Liveable and resilient cities need to have accessible, safe, affordable and of course sustainable transport systems for all to meet #SDGs. #COP23pic.twitter.com/0PXxyqMq7Z "
上午6:24 - 2017年11月13日," We would like to recognize Mr.@fredynjeje as our top contributors to #AfricaSDGsPhotos campaign this week.Thank you for being part of the journey.  Let's share our stories and spark awareness to #SDGs to our communities and networks, through #AfricaSDGsPhotos campaign.pic.twitter.com/cyjIn0aDzb "
上午6:24 - 2017年11月13日," #MMOB enjoying #Haiti Music https://youtu.be/8YwjzjJEDWw?  via @NEPAD_Agency @AmplifiedR @SustDev @UNODC @GI_TOC @MafiaExposed @IntlCrimCourt #evil_kleptomania criminals + @FutureHaiti #SDGs "
上午6:22 - 2017年11月13日," .#Denmark at @WFP Board working to get food assistance to more than 80 mio people. #dkaid #zerohunger #SDGs #UNpic.twitter.com/BuMeIeQF5M "
上午6:22 - 2017年11月13日," SDG Monday: SDG 1: NO POVERTY -Boost incomes -End suffering of people in poverty -Build resilience -Access to social protections -Pensions -Livable wages http://www.sdgs.gov.ng? #SDGs #2030Agenda #GlobalGoals #17Goalsfor17Days #Nigeria #SDGNGpic.twitter.com/rDuRyJ87AL "
上午6:21 - 2017年11月13日," We were here last week!!! Or, more specifically @jaydeeskim on behalf of our replication city @CMCascais. #SDGs #energyhttps://twitter.com/Amb_Francji/status/928237421212454912?? "
上午6:21 - 2017年11月13日," The Solar Economy Kit can provide more than 24hrs of mobile phone charging. It's specially designed to serve homes and small businesses.  #cleanenergy #SDGs #energy #electricity #light #power #sdg7 #phone #mobiles #nigeria #africa #solar #Lagos #festac #tech #MondayMotivationpic.twitter.com/TYtbxpDOze "
上午6:18 - 2017年11月13日," British American Tobacco Launches #SustainableAgriculture and #Farmer Livelihoods Focus Report http://bit.ly/2yhjIgt? @BATPress #SDGs "
上午6:18 - 2017年11月13日," #OECD panel @COP23 : if we cannot get the finance right, the Blue Economy and the SDGs will not work. "
上午6:18 - 2017年11月13日," Gary Crawford, chair of ISWA?s WG on Climate Change, discussing how the waste and resource sector is a key sector to achieve our climate targets. With @CH_EERD @ChathamHouse @DAperspectives #circulareconomy #SDGs #greeneconomy #COP23 #resourceefficiencypic.twitter.com/JH0T8u6qsg "
上午6:17 - 2017年11月13日," How can our NGO access funds for SDGs project in our locality? "
上午6:15 - 2017年11月13日," High-level round-table on #SDG 11: Creating Green and Inclusive Transport for Liveable and Resilient Cities. #Agenda2030 #SDGs #SDG11 #sustainabledevelopment #GreenTransport #InclusiveTransport #LiveableCities #ResilientCities #FutureOfTransport #COP23pic.twitter.com/IOtAsiW5cN "
上午6:14 - 2017年11月13日," GYA Member @sidizakariibrah is still collecting comments on (French-language) online discussion on the role of mobile technologies for achieving the #SDGs #globalgoalshttps://www.youtube.com/watch?v=76EWKi583eA&feature=youtu.be?? "
上午6:13 - 2017年11月13日," .@UNDP_REDDPlus Programme in #Suriname address all aspects of #sustainabledevelopment & #SDGs - says REDD+ technical officer - Sara Svensson  - @UNDP event #COP23pic.twitter.com/7C10RJ9K4o "
上午6:11 - 2017年11月13日," Fourth Global Conference on the Sustained Eradication of Child Labour begins tomorrow to end #childlabour #forcedlabour #modernslavery , and promote #GlobalGoals #SDGs. https://twitter.com/ilo/status/929074963801354240?? "
上午6:11 - 2017年11月13日," 13th #SDG17  pay your tax and finance our #SDGs #ClimateChangeIsReal #earthisgreen #saveourplanet #earthisouronlyhome #greenislifepic.twitter.com/KLjYjCDkBK "
上午6:08 - 2017年11月13日," 11 #Blockchain Startups in Alignment with the United Nations SDGs https://buff.ly/2i7pD1M? @DerinCag @Influencive "
上午6:07 - 2017年11月13日," This Global Entrepreneurship Week, @James_I_Mwangi & @AnnaRyott @norrsken_org argue that more support must be given to #entrepreneurs as a part of a holistic approach to addressing the #SDGs #GEW2017http://www.latimes.com/world/global-development/la-fg-global-ryott-and-mwangi-oped-20171023-story.html?? "
上午6:05 - 2017年11月13日," Final call for abstract submission Nexus 2018: #Water #Food #Energy #Climate More info at http://bit.ly/2hmMKaK? #SDGs @SDGactionpic.twitter.com/5ygpSO3Pe8 "
上午6:04 - 2017年11月13日," Our #mcm is Leonardo DiCaprio; for his support of #environmental causes and fight against #climatechange...  #greencelebrity #environmentalist #careergoals #SDGs #ClimateAction #CleanEnergy #sustainability #ecofriendly #ManCrushMonday #sustainable @LeoDiCapriopic.twitter.com/xDCVWhQVC8 "
上午6:01 - 2017年11月13日," Join us to learn how to build capacities for #sustainable #business #innovation. http://bit.ly/abisglobal? #ABISforSDGs #SDGs #Leadershippic.twitter.com/tMRoyVD81o "
上午5:59 - 2017年11月13日," Minister Demedo Galle from #Ethiopia stresses a holistic approach to climate smart agriculture. #Thinkbamboo for #SDGs @Climate_Action_ #SIF17pic.twitter.com/IhHto3vhJM "
上午5:57 - 2017年11月13日," Let's build a plugin to overlay #SDGs on the available census data: presto, a visual tool to localize a global agenda https://twitter.com/opendatawatch/status/930067987662589957?? "
上午5:55 - 2017年11月13日," Climate Leader Interview  The IPCC's key role in achieving Paris Agreement goals and SDGs Dr. Hoesung Lee Chair IPCC pic.twitter.com/plZdo1H3jw "
上午5:52 - 2017年11月13日," Worthwhile for everyone who is dealing with implementation of #agenda2030 #SDGs https://twitter.com/gainalliance/status/930035152977387520?? "
上午5:52 - 2017年11月13日," #ParisAgreement & #SDGs: Both are closely interconnected. Adverse effects of #climatechange directly effect the #2030Agenda. @IIASAVienna's gives an overview on what to look out for in a 1.5?C-Scenario. #Interconnect17pic.twitter.com/HrEzCfkTHK "
上午5:47 - 2017年11月13日," #ethicalfunds are limited to just 50 or so stocks, creating issues for investment managers seeking diversity in portfolios #ethicalfinance #sustainabledevelopment #SDGs @BaillieGifford @onestoneadvisor @EF_Hub "
上午5:45 - 2017年11月13日," #DYK that the SUN Movement is supporting the transformation of lives and futures, but faster results at scale are both possible and necessary to reach the six global targets for better nutrition by 2025 and the #SDGs by 2030?  http://bit.ly/sun2017summaryeng??pic.twitter.com/1LXvW9O4TX "
上午5:43 - 2017年11月13日," Introducing ABIS #Sustainability #Award nominees: @e4impact & GLOBAL MBA IN IMPACT ENTREPRENEURSHIP http://www.e4impact.org? #AbisAward #SDGs pic.twitter.com/LpKiqTznRe "
上午5:41 - 2017年11月13日," Online tool and database analyze NDC-SDG links http://ow.ly/T8XK30gxxbs? @IISD_news #SDGs #climate #ParisAgreement "
上午5:41 - 2017年11月13日," A must see exhibit @MuseumModernArt linked to #SDGs and supply chain in fashion sector @SDGFund @gcnyc_newshttps://twitter.com/Cotton_Connect/status/930050180476538880?? "
上午5:40 - 2017年11月13日," .@OECDdev has 6 #data actions to strengthen partnership & capacity building for #SDGs monitoring. #statistics http://ow.ly/zXoc30gfCIZ?pic.twitter.com/wZintumZPi "
上午5:38 - 2017年11月13日," Interesting opinion piece: The World Bank?s engagement with the private sector for development #SDGs https://www.devex.com/news/opinion-the-world-bank-has-engaged-the-private-sector-for-a-long-time-here-s-what-we-ve-learned-91378?? "
上午5:38 - 2017年11月13日," The latest The Enterprising Schools Daily! https://paper.li/EnterprisingSch?edition_id=e64cb660-c877-11e7-8d12-0cc47a0d15fd?? #cop23 #sdgs "
上午5:37 - 2017年11月13日," Latest ESIL news: "Workshop: Financing and the Right to Science in Technology Sharing for the SDGs" http://ift.tt/2yXgZ0s? "
上午5:33 - 2017年11月13日," British American Tobacco Launches #SustainableAgriculture and #Farmer Livelihoods Focus Report http://bit.ly/2yhjIgt? @BATPress #SDGs "
上午5:32 - 2017年11月13日," Social economy must be included on all productive sectors  social economy creates welthe #SDGs #ESS #REMESS #D?mocratie_?conomique #inclusion_social "
上午5:31 - 2017年11月13日," #SDG16 Info Digest 7th Edition from @UNDPOGC out now:  https://goo.gl/6aAcYU?    read about the latest initiatives, events, resources and other information related to this goal #SDGs #agenda2030. Share with your colleagues and professional networkspic.twitter.com/IuEGVi791L "
上午5:29 - 2017年11月13日," Launch of SSA & @SEEd_Edu Nature &Biodiversity #sustainableschools doorway -in context of #SDGs #NSSC17 @RSPB_Learning #GlobalGoals "
上午5:28 - 2017年11月13日," To mark the 72nd Anniversary of the @UN, the #Sudan team is engaging 50 artists to express their vision of the #SDGs. Watch this space... pic.twitter.com/lxx1Ngx8wg "
上午5:28 - 2017年11月13日," Are you interested in statistics on #ageing? Talking later on the proposed new city group on ageing #data at IAEG #SDGs pic.twitter.com/O0PqRiFeFn "
上午5:26 - 2017年11月13日," British American Tobacco Launches #SustainableAgriculture and #Farmer Livelihoods Focus Report http://bit.ly/2yhjIgt? @BATPress #SDGs "
上午5:26 - 2017年11月13日," #MondayMotivation 5 Easy Ways to Help Achieve the #SDGs in Your Personal Life - Thanks Mark @Experteering #SDGSandME https://www.huffingtonpost.com/entry/five-easy-ways-to-help-achieve-the-sustainable-development_us_59fa606be4b09887ad6f3d47?ncid=engmodushpmg00000004??pic.twitter.com/g67tYYTKMZ "
上午5:24 - 2017年11月13日," The VSO ICS Alumni Association Ghana, a volunteer group at the weekend embarked on a sensitisation campaign to educate students of Ada Senior High School on the Sustainable Development Goals ( #SDGs).  https://www.modernghana.com/news/816168/ada-high-school-students-schooled-on-sdgs.html?? "
上午5:24 - 2017年11月13日," Check out http://munforindia.com/sdg-education?, an initiative to educate more Indian's about the #SDGs. Whether you are an individual or a school, join in and make your #SDGeducation video today.pic.twitter.com/PZkNglKevy "
上午5:21 - 2017年11月13日," SDGs progress in Africa  Joint Report Outlines SDG Progress, Challenges in Africa http://sdg.iisd.org/news/joint-report-outlines-sdg-progress-challenges-in-africa/?? "
上午5:14 - 2017年11月13日," Lee Qian of @BaillieGifford speaks to Edinburgh Ethical Finance Round Table delegates about their Positive Change Fund and how it aligns with @UN #SDGs, as shared by Fran Van Dijk of @onestoneadvisor #EEFRT @EF_Hub #ethicalfinancepic.twitter.com/QtXcbiGCuI "
上午5:13 - 2017年11月13日," We had an exciting first week at #COP23 with a #sideevent on #climateaction & #SDGs and a #GermanScienceHour on #carbonpricing.  Wednesday 15.11. we will organise a public event on #cities & #SDG11.  Join us at Ahrstra?e 45, Bonn. Free entry, no registration! #Cities4Climatepic.twitter.com/AjCryKvr3W "
上午5:12 - 2017年11月13日," The latest Grateful Humility! https://paper.li/BradCatron/1310065907?edition_id=41d921c0-c874-11e7-beef-0cc47a0d164b?? #impinv #sdgs "
上午5:11 - 2017年11月13日," Arrived at interesting side-event at #interconnections zone on synergies and trade-offs between Paris goals and #SDGs @C_DLINKS #COP23pic.twitter.com/D76NSFdrjs "
上午5:11 - 2017年11月13日," The World Energy Outlook 2017 presents a new scenario achieving energy-related SDGs http://www.iea.org/newsroom/news/2017/november/a-new-approach-to-energy-and-sustainable-development-the-sustainable-development.html?? "
上午5:10 - 2017年11月13日," Now is critical, not decades from now  #ActOnClimate w #PeopleWays #netzeroNYC2020 #SDGs #CarFreeNYC #CarFreeMegaCities #VisionZero @NYCMayor @NYCCouncil @NYC_DOThttps://twitter.com/ClimateNewsHub/status/930047117036544000?? "
上午5:08 - 2017年11月13日," Fran Van Dijk of @onestoneadvisor concludes the presentation by saying ?not delivering on the @UN #SDGs would be the worlds most significant market failure? #EEFRT #ethicalfinance @EF_Hubpic.twitter.com/qyvUs76kXq "
上午5:06 - 2017年11月13日," Good work Madam. How can our NGO take part in some of the SDGs projects? "
上午5:05 - 2017年11月13日," #QualityEducation Achieving inclusive and equitable quality education for all will require increasing effort especially for poor children in sub-Saharan http://Africa.Education? is one of the most powerful and proven vehicles for SDGs.  by @RasheedHRasheed #AfricaSDGsPhotospic.twitter.com/hLz68slf4o "
上午5:05 - 2017年11月13日," #QualityEducation Achieving inclusive and equitable quality education for all will require increasing effort especially for poor children in sub-Saharan http://Africa.Education? is one of the most powerful and proven vehicles for SDGs.  by @RasheedHRasheed #AfricaSDGsPhotospic.twitter.com/lu8HkDCBsz "
上午5:05 - 2017年11月13日," #QualityEducation Achieving inclusive and equitable quality education for all will require increasing effort especially for poor children in sub-Saharan http://Africa.Education? is one of the most powerful and proven vehicles for SDGs.  by @RasheedHRasheed #AfricaSDGsPhotospic.twitter.com/KMCJKFnfVN "
上午5:05 - 2017年11月13日," 'How to Run With the #Sustainable Development Goals' #SDGs @UN @TriplePundithttp://ow.ly/psDG30gxrrp? "
上午5:05 - 2017年11月13日," What's been going on at #COP23? Here's @edie's roundup of the first week >>   https://www.edie.net/news/9/What-went-on-in-Bonn--COP23-week-one-round-up/?? #climate #ParisAgreement #SDGs "
上午5:04 - 2017年11月13日," Some great progress at #COP23. In the final week of the UN #ClimateChange Conference in #Bonn cooperation & collaboration are key to reaching #Agenda2030 & #SDGs to protect our world: http://www.un.org/apps/news/story.asp?NewsID=58073#.WggE2CMrLR0?? #Uniting4Climatepic.twitter.com/QydKIMjuxw "
上午5:03 - 2017年11月13日," hw do pple join your team. "
上午5:02 - 2017年11月13日," Fran Van Dijk of @onestoneadvisor - "the #SDGs are the to do list for the planet." Examples of @triodosuk and @Solactive used as best practice in financial services. @uk_ifc @BaillieGifford "
上午5:01 - 2017年11月13日," 65% of Chinese students need glasses to see the blackboard. http://snipbfp.org/2zgPn55? #Health #SDGs @VisionSpring "
上午4:59 - 2017年11月13日," Want to understand climate change in Myanmar? Talk to kids  #ActOnClimate w #PeopleWays #netzeroNYC2020 #SDGs #CarFreeNYC #CarFreeMegaCities #VisionZero https://mercury.postlight.com/amp?url=http://news.trust.org/item/20171113122441-iunb6??pic.twitter.com/8QqerTZsmU "
上午4:55 - 2017年11月13日," Fran Van Dijk of @onestoneadvisor introduces @UN #SDGs and shares insights at Edinburgh Ethical Finance Round Table @bailliegifford #EEFRT #ethicalfinancepic.twitter.com/FdFt2RsIqo "
